id_result,id_user,id_test,final_grade,lim
10231,100,1004,2,2
10232,100,1001,4,1
10234,100,1003,6,2
10236,140,1003,0,2
10237,106,1001,6,1
10239,131,1004,8,1
10240,131,1003,6,2
10241,106,1002,10,1
10245,137,1006,4,2
10247,137,1007,2,2
10248,137,1000,10,1
10249,103,1000,8,1
10250,103,1002,6,1
10251,102,1000,8,1
10252,102,1002,6,1
10253,128,1000,10,1
10254,128,1006,4,1
10256,108,1000,6,2
10257,108,1002,10,1
10258,105,1000,8,1
10259,105,1002,2,1
10260,120,1006,4,1
10261,120,1000,10,1
10262,123,1006,2,1
10263,125,1000,6,1
10264,125,1006,2,1
10265,107,1000,4,1
10266,107,1002,2,1
10267,132,1007,0,1
10268,132,1006,0,1
10269,132,1000,4,1
10270,110,1002,4,1
10271,110,1000,4,1
10272,103,1008,9,1
10273,108,1008,9,1
10274,113,1008,8,1
10275,104,1008,8,1
10276,109,1008,3,1
10277,107,1008,1,1
10278,106,1008,9,1
10279,128,1005,8,1
10280,128,1008,3,1
10281,116,1009,10,1
10282,104,1009,10,1
10283,103,1009,10,1
10284,106,1009,10,1
10285,120,1009,10,1
10286,120,1008,5,1
10287,120,1005,8,1
10288,105,1009,10,1
10289,105,1008,4,1
10290,101,1008,1,1
10291,101,1009,0,1
10292,137,1008,5,1
10293,121,1010,5,1
10296,141,1010,9,3
10300,108,1010,1,4
10302,102,1010,2,2
10303,110,1010,4,1
10306,103,1010,1,3
